Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,IsPersonalBest,Compound_lap,TyreLife,FreshTyre,Team,Position,LapTimeSeconds_lap,TrackTemp,AirTemp,Humidity,WindSpeed
0 days 01:00:41.446000,PIA,81,0 days 00:01:38.344000,1,1,,,False,MEDIUM,1,True,McLaren,1,98.344,35.6,27.3,18.0,2.2
0 days 01:00:42.370000,NOR,4,0 days 00:01:39.268000,1,1,,,False,MEDIUM,1,True,McLaren,2,99.268,35.6,27.3,18.0,2.2
0 days 01:00:43.384000,RUS,63,0 days 00:01:40.282000,1,1,,,False,MEDIUM,1,True,Mercedes,3,100.282,35.6,27.3,18.0,2.2
0 days 01:00:43.894000,HAM,44,0 days 00:01:40.792000,1,1,,,False,MEDIUM,1,True,Ferrari,4,100.792,35.6,27.3,18.0,2.2
0 days 01:00:44.865000,LEC,16,0 days 00:01:41.763000,1,1,,,False,MEDIUM,1,True,Ferrari,5,101.763,35.6,27.3,18.0,2.2
0 days 01:00:45.351000,VER,1,0 days 00:01:42.249000,1,1,,,False,MEDIUM,1,True,Red Bull Racing,6,102.249,35.6,27.3,18.0,2.2
0 days 01:00:46.110000,ANT,12,0 days 00:01:43.008000,1,1,,,False,MEDIUM,1,True,Mercedes,7,103.008,35.6,27.3,18.0,2.2
0 days 01:00:46.758000,TSU,22,0 days 00:01:43.656000,1,1,,,False,MEDIUM,1,True,Racing Bulls,8,103.656,35.6,27.3,18.0,2.2
0 days 01:00:47.298000,HAD,6,0 days 00:01:44.196000,1,1,,,False,MEDIUM,1,True,Racing Bulls,9,104.196,35.6,27.3,18.0,2.2
0 days 01:00:47.933000,OCO,31,0 days 00:01:44.831000,1,1,,,False,MEDIUM,1,True,Haas F1 Team,10,104.831,35.6,27.3,18.0,2.2
0 days 01:00:48.375000,ALB,23,0 days 00:01:45.273000,1,1,,,False,MEDIUM,1,True,Williams,11,105.273,35.6,27.3,18.0,2.2
0 days 01:00:48.863000,ALO,14,0 days 00:01:45.761000,1,1,,,False,MEDIUM,6,False,Aston Martin,12,105.761,35.6,27.3,18.0,2.2
0 days 01:00:49.142000,GAS,10,0 days 00:01:46.040000,1,1,,,False,MEDIUM,1,False,Alpine,13,106.04,35.6,27.3,18.0,2.2
0 days 01:00:49.748000,STR,18,0 days 00:01:46.646000,1,1,,,False,HARD,1,True,Aston Martin,14,106.646,35.6,27.3,18.0,2.2
0 days 01:00:50.414000,SAI,55,0 days 00:01:47.312000,1,1,,,False,MEDIUM,1,True,Williams,15,107.312,35.6,27.3,18.0,2.2
0 days 01:00:50.789000,BEA,87,0 days 00:01:47.687000,1,1,,,False,HARD,1,True,Haas F1 Team,16,107.687,35.6,27.3,18.0,2.2
0 days 01:00:51.006000,DOO,7,0 days 00:01:47.904000,1,1,,,False,MEDIUM,1,False,Alpine,17,107.904,35.6,27.3,18.0,2.2
0 days 01:00:52.030000,LAW,30,0 days 00:01:48.928000,1,1,0 days 00:59:12.755000,,False,HARD,1,True,Red Bull Racing,18,108.928,35.6,27.3,18.0,2.2
0 days 01:00:52.997000,HUL,27,0 days 00:01:49.895000,1,1,,,False,MEDIUM,1,True,Kick Sauber,19,109.895,35.6,27.3,18.0,2.2
0 days 01:01:06.759000,BOR,5,0 days 00:02:03.657000,1,1,,0 days 01:01:05.064000,False,MEDIUM,1,True,Kick Sauber,20,123.657,35.6,27.3,18.0,2.2
0 days 01:02:18.997000,PIA,81,0 days 00:01:37.551000,2,1,,,False,MEDIUM,2,True,McLaren,1,97.551,35.5,27.4,18.0,2.9
0 days 01:02:20.083000,NOR,4,0 days 00:01:37.713000,2,1,,,False,MEDIUM,2,True,McLaren,2,97.713,35.5,27.4,18.0,2.9
0 days 01:02:20.847000,RUS,63,0 days 00:01:37.463000,2,1,,,False,MEDIUM,2,True,Mercedes,3,97.463,35.5,27.4,18.0,2.9
0 days 01:02:22.066000,HAM,44,0 days 00:01:38.172000,2,1,,,False,MEDIUM,2,True,Ferrari,4,98.172,35.5,27.4,18.0,2.9
0 days 01:02:23.049000,LEC,16,0 days 00:01:38.184000,2,1,,,False,MEDIUM,2,True,Ferrari,5,98.184,35.5,27.4,18.0,2.9
0 days 01:02:23.655000,VER,1,0 days 00:01:38.304000,2,1,,,False,MEDIUM,2,True,Red Bull Racing,6,98.304,35.5,27.4,18.0,2.9
0 days 01:02:24.457000,ANT,12,0 days 00:01:38.347000,2,1,,,False,MEDIUM,2,True,Mercedes,7,98.347,35.5,27.4,18.0,2.9
0 days 01:02:25.506000,TSU,22,0 days 00:01:38.748000,2,1,,,False,MEDIUM,2,True,Racing Bulls,8,98.748,35.5,27.4,18.0,2.9
0 days 01:02:26.559000,HAD,6,0 days 00:01:39.261000,2,1,,,False,MEDIUM,2,True,Racing Bulls,9,99.261,35.5,27.4,18.0,2.9
0 days 01:02:27.039000,OCO,31,0 days 00:01:39.106000,2,1,,,False,MEDIUM,2,True,Haas F1 Team,10,99.106,35.5,27.4,18.0,2.9
0 days 01:02:27.818000,ALB,23,0 days 00:01:39.443000,2,1,,,False,MEDIUM,2,True,Williams,11,99.443,35.5,27.4,18.0,2.9
0 days 01:02:28.454000,ALO,14,0 days 00:01:39.591000,2,1,,,False,MEDIUM,7,False,Aston Martin,12,99.591,35.5,27.4,18.0,2.9
0 days 01:02:28.947000,GAS,10,0 days 00:01:39.805000,2,1,,,False,MEDIUM,2,False,Alpine,13,99.805,35.5,27.4,18.0,2.9
0 days 01:02:29.489000,STR,18,0 days 00:01:39.741000,2,1,,,False,HARD,2,True,Aston Martin,14,99.741,35.5,27.4,18.0,2.9
0 days 01:02:30.132000,SAI,55,0 days 00:01:39.718000,2,1,,,False,MEDIUM,2,True,Williams,15,99.718,35.5,27.4,18.0,2.9
0 days 01:02:30.766000,BEA,87,0 days 00:01:39.977000,2,1,,,False,HARD,2,True,Haas F1 Team,16,99.977,35.5,27.4,18.0,2.9
0 days 01:02:31.085000,DOO,7,0 days 00:01:40.079000,2,1,,,False,MEDIUM,2,False,Alpine,17,100.079,35.5,27.4,18.0,2.9
0 days 01:02:31.670000,LAW,30,0 days 00:01:39.640000,2,1,,,False,HARD,2,True,Red Bull Racing,18,99.64,35.5,27.4,18.0,2.9
0 days 01:02:32.962000,HUL,27,0 days 00:01:39.965000,2,1,,,False,MEDIUM,2,True,Kick Sauber,19,99.965,35.5,27.4,18.0,2.9
0 days 01:03:03.874000,BOR,5,0 days 00:01:57.115000,2,2,0 days 01:01:28.427000,,False,HARD,1,True,Kick Sauber,20,117.115,35.5,27.4,18.0,2.9
0 days 01:03:56.686000,PIA,81,0 days 00:01:37.689000,3,1,,,False,MEDIUM,3,True,McLaren,1,97.689,35.1,27.3,18.0,3.0
0 days 01:03:57.680000,NOR,4,0 days 00:01:37.597000,3,1,,,False,MEDIUM,3,True,McLaren,2,97.597,35.1,27.3,18.0,3.0
0 days 01:03:58.621000,RUS,63,0 days 00:01:37.774000,3,1,,,False,MEDIUM,3,True,Mercedes,3,97.774,35.1,27.3,18.0,3.0
0 days 01:03:59.919000,HAM,44,0 days 00:01:37.853000,3,1,,,False,MEDIUM,3,True,Ferrari,4,97.853,35.1,27.3,18.0,3.0
